id	name	type	url	P4086	description
19797	Nanbo no Monjai! 2: Yankee Gurentai	Q21441764			[withdrawn identifier value]
145848	Unmei no Makimodo Shi	Q21441764			[withdrawn identifier value]
31	Neon Genesis Evangelion: Death & Rebirth	Q20650540	https://anilist.co/anime/31	31	新世紀エヴァンゲリオン劇場版 シト新生. 1997 anime by Gainax and Production I.G
362	Memories Off 2nd	Q113687694	https://anilist.co/anime/362	362	メモリーズオフ 2nd. 2003 anime by Picture Magic and Rikuentai
1067	Demonbane	Q63952888	https://anilist.co/anime/1067	1067	機神咆吼デモンベイン. 2006 anime
1084	I''s	Q113687694	https://anilist.co/anime/1084	1084	"フロム I""s アイズ 〜もうひとつの夏の物語〜. 2002 anime by Studio Pierrot. Directed by Shigenori Kageyama"
1932	Yes! Precure 5	Q100269041	https://anilist.co/anime/1932	1932	Yes! プリキュア5. 2007 anime by Toei Animation. Directed by Toshiaki Komura
2505	Ringetsu The Animation	Q113687694	https://anilist.co/anime/2505	2505	燐月 ～リンゲツ～ THE ANIMATION. 2006 anime by Flavors Soft. Directed by Yoshitaka Higuchi
2653	Doraemon: Ganbare! Gian!!	Q20650540	https://anilist.co/anime/2653	2653	ドラえもん がんばれ！ジャイアン！！. 2001 anime by Shin-Ei Animation
2692	Go Nagai World	Q113687694	https://anilist.co/anime/2692	2692	CBキャラ永井豪ワールド. 1991 anime by Triangle Staff. Directed by Umanosuke Iida
3685	Four Day Weekend	Q64100970	https://anilist.co/anime/3685	3685	1998 anime by Studio 4°C. Directed by Kouji Morimoto
3876	Maeterlinck no Aoi Tori	Q63952888	https://anilist.co/anime/3876	3876	メーテルリンクの青い鳥 チルチルミチルの冒険旅行. 1980 anime. Directed by Hiroshi Sasagawa
4856	Fuuma no Kojirou: Fuuma Hanran-hen	Q220898	https://anilist.co/anime/4856	4856	風魔の小次郎～風魔反乱篇～. 1991 anime by Animate Film. Directed by Hidehito Ueda
5830	Tsurupika Hagemaru-kun	Q63952888	https://anilist.co/anime/5830	5830	つるピカハゲ丸くん. 1988 anime. Directed by Tetsuo Yasumi
6074	21 Emon: Sora Ike! Hadashi no Princess	Q20650540	https://anilist.co/anime/6074	6074	21エモン 宇宙いけ! 裸足のプリンセス. 1992 anime by Shin-Ei Animation. Directed by Mitsuru Hongou
8687	Doraemon (2005)	Q100269041	https://anilist.co/anime/8687	8687	ドラえもん (2005). 2005 anime by Shin-Ei Animation
8898	Circuit Angel: Ketsui no Starting Grid	Q220898	https://anilist.co/anime/8898	8898	サーキットエンジェル 決意のスターティング・グリッド. 1987 anime by Studio Unicorn and Hiro Media. Directed by Yoshikazu Tochihira
10004	Agonashi Gen to Ore Monogatari	Q113671041	https://anilist.co/anime/10004		アゴなしゲンとオレ物語. 2010 anime
10089	Girls' Work	Q63952888	https://anilist.co/anime/10089		ガールズワーク. anime by ufotable
11053	Doraemon: Nobita to Kiseki no Shima - Animal Adventure	Q20650540	https://anilist.co/anime/11053	11053	ドラえもん のび太と奇跡の島 ～アニマル アドベンチャー～. 2012 anime by Shin-Ei Animation
11977	Puella Magi Madoka Magica the Movie Part 1: Beginnings	Q20650540	https://anilist.co/anime/11977	11977	劇場版 魔法少女まどか☆マギカ 始まりの物語. 2012 anime by Shaft. Directed by Yukihiro Miyamoto
11979	Puella Magi Madoka Magica the Movie Part 2: Eternal	Q20650540	https://anilist.co/anime/11979	11979	劇場版 魔法少女まどか☆マギカ 永遠の物語. 2012 anime by Shaft. Directed by Yukihiro Miyamoto
11981	Puella Magi Madoka Magica the Movie -Rebellion-	Q20650540	https://anilist.co/anime/11981	11981	劇場版 魔法少女まどか☆マギカ 叛逆の物語. 2013 anime by Shaft. Directed by Yukihiro Miyamoto
12243	Game Center Arashi	Q63952888	https://anilist.co/anime/12243	12243	ゲームセンターあらし. 1982 anime. Directed by Tameo Kohanawa
12897	Uchuu Patrol Hopper	Q63952888	https://anilist.co/anime/12897	12897	宇宙パトロールホッパ. 1965 anime by Toei Animation
13307	Shounen Ninja Kaze no Fujimaru	Q63952888	https://anilist.co/anime/13307	13307	少年忍者風のフジ丸. 1964 anime by Toei Animation
17137	Saiyuuki Gaiden: Kouge no Shou	Q220898	https://anilist.co/anime/17137	17137	最遊記外伝 香花（こうげ）の章. 2013 anime
17521	Ookami Shounen Ken	Q63952888	https://anilist.co/anime/17521	17521	狼少年ケン. 1963 anime by Toei Animation
19117	The Pilot's Love Song	Q63952888	https://anilist.co/anime/19117	19117	とある飛空士への恋歌. 2014 anime by TMS Entertainment and 3xCube. Directed by Toshimasa Suzuki
19653	Neppuu Kairiku Bushi Road	Q1107	https://anilist.co/anime/19653	19653	熱風海陸ブシロード. 2013 anime by Kinema Citrus and Orange. Directed by Masayuki Sakoi
19783	Nanbo no Monjai! Yankee Gurentai	Q113687694	https://anilist.co/anime/19783	19783	なんぼのもんじゃい! ヤンキー愚連隊. 1992 anime
21164	Buta no Gotoki Sanzoku ni Torawarete Shojo wo Ubawareru Kyonyuu Himekishi & Onna Senshi: Zettai Chi●po Nanka ni Maketari Shinai!! THE ANIMATION	Q220898	https://anilist.co/anime/21164	28169	豚の如き山賊に捕らわれて処女を奪われる巨乳姫騎士&女戦士 ~絶対チ●ポなんかに負けたりしない!!~ THE ANIMATION. 2015 anime by Seven
