ID	name	type	URL	P4087	description
30001	Monster	Q21198342	https://anilist.co/manga/30001	1	MONSTER. 1994 manga by Naoki Urasawa
30002	Berserk	Q21198342	https://anilist.co/manga/30002	2	ベルセルク. 1989 manga by Kentarou Miura (vols 1-41) and Studio Gaga (vols 41- )
30003	20th Century Boys	Q21198342	https://anilist.co/manga/30003	3	20世紀少年. 1999 manga by Naoki Urasawa
30004	Yokohama Kaidashi Kikou	Q21198342	https://anilist.co/manga/30004	4	ヨコハマ買い出し紀行. 1994 manga by Hitoshi Ashinano
30007	Hajime no Ippo: Fighting Spirit!	Q21198342	https://anilist.co/manga/30007	7	はじめの一歩. 1989 manga by George Morikawa
30008	Full Moon	Q21198342	https://anilist.co/manga/30008	8	満月をさがして. 2001 manga by Arina Tanemura
30009	Tsubasa RESERVoir CHRoNiCLE	Q21198342	https://anilist.co/manga/30009	9	ツバサ -RESERVoir CHRoNiCLE-. 2003 manga by CLAMP
30010	xxxHOLiC	Q21198342	https://anilist.co/manga/30010	10	×××ホリック. 2003 manga by CLAMP
30011	Naruto	Q21198342	https://anilist.co/manga/30011	11	NARUTO -ナルト-. 1999 manga by Masashi Kishimoto
30012	Bleach	Q21198342	https://anilist.co/manga/30012	12	BLEACH. 2001 manga by Tite Kubo
30013	One Piece	Q21198342	https://anilist.co/manga/30013	13	ONE PIECE. 1997 manga by Eiichirou Oda
30014	Rave Master	Q21198342	https://anilist.co/manga/30014	14	レイヴ. 1999 manga by Hiro Mashima
30015	Negima! Magister Negi Magi	Q21198342	https://anilist.co/manga/30015	15	魔法先生ネギま!. 2003 manga by Ken Akamatsu
30016	Love Hina	Q21198342	https://anilist.co/manga/30016	16	ラブ ひな. 1998 manga by Ken Akamatsu
30017	Kare Kano: His and Her Circumstances	Q21198342	https://anilist.co/manga/30017	17	彼氏彼女の事情. 1995 manga by Masami Tsuda
30018	Kodocha: Sana's Stage	Q21198342	https://anilist.co/manga/30018	18	こどものおもちゃ. 1994 manga by Miho Obana
30019	Get Backers: Dakkanya	Q21198342	https://anilist.co/manga/30019	19	ゲットバッカーズ -奪還屋-. 1999 manga. Story: Shin Kibayashi, Art: Rando Ayamine
30020	Hikaru no Go	Q21198342	https://anilist.co/manga/30020	20	ヒカルの碁. 1998 manga. Art: Takeshi Obata, Story: Yumi Hotta
30021	Death Note	Q21198342	https://anilist.co/manga/30021	21	DEATH NOTE. 2003 manga. Art: Takeshi Obata, Story: Tsugumi Ooba
30022	Rurouni Kenshin	Q21198342	https://anilist.co/manga/30022	22	るろうに剣心 -明治剣客浪漫譚-. 1994 manga by Nobuhiro Watsuki
30023	Ranma ½	Q21198342	https://anilist.co/manga/30023	23	らんま1/2. 1987 manga by Rumiko Takahashi
30024	D.Gray-man	Q21198342	https://anilist.co/manga/30024	24	ディー・グレイマン. 2004 manga by Katsura Hoshino
30025	Fullmetal Alchemist	Q21198342	https://anilist.co/manga/30025	25	鋼の錬金術師. 2001 manga by Hiromu Arakawa
30026	Hunter x Hunter	Q21198342	https://anilist.co/manga/30026	26	HUNTER×HUNTER. 1998 manga by Yoshihiro Togashi
30027	X	Q21198342	https://anilist.co/manga/30027	27	X. 1992 manga by CLAMP
30028	Nana	Q21198342	https://anilist.co/manga/30028	28	NANA. 2000 manga by Ai Yazawa
30029	Paradise Kiss	Q21198342	https://anilist.co/manga/30029	29	パラダイス・キス. 1999 manga by Ai Yazawa
30030	Ouran High School Host Club	Q21198342	https://anilist.co/manga/30030	30	桜蘭高校ホスト部. 2002 manga by Bisco Hatori
30031	Love★Com	Q21198342	https://anilist.co/manga/30031	31	ラブ★コン. 2001 manga by Aya Nakahara
30032	O-Parts Hunter	Q21198342	https://anilist.co/manga/30032	32	666〜サタン〜. 2001 manga by Seishi Kishimoto
30033	Pita-Ten	Q21198342	https://anilist.co/manga/30033	33	ぴたテン. 1999 manga by Koge-Donbo*
30034	Di Gi Charat	Q21198342	https://anilist.co/manga/30034	34	デ・ジ・キャラット 公式コミックアンソロジー. 1998 manga by Koge-Donbo*, Yuuko Ootsuki, Miyabi Fujieda, Yuki Kiriga, Hisanari Minamoto, Kurumi Morisaki and Kotomi Nekoma
30035	Kamichama Karin	Q21198342	https://anilist.co/manga/30035	35	かみちゃまかりん. 2002 manga by Koge-Donbo*
30036	Phantom Thief Jeanne	Q21198342	https://anilist.co/manga/30036	36	神風怪盗ジャンヌ. 1997 manga by Arina Tanemura
30037	The Gentlemen's Alliance †	Q21198342	https://anilist.co/manga/30037	37	紳士同盟クロス. 2004 manga by Arina Tanemura
30038	+Anima	Q21198342	https://anilist.co/manga/30038	38	プラス・アニマ. 1999 manga by Natsumi Mukai
30039	ZOMBIEPOWDER.	Q21198342	https://anilist.co/manga/30039	39	ZOMBIE POWDER.. 1999 manga by Tite Kubo
30040	Black Cat	Q21198342	https://anilist.co/manga/30040	40	ブラックキャット. 2000 manga by Kentarou Yabuki
30041	Buso Renkin	Q21198342	https://anilist.co/manga/30041	41	武装錬金. 2003 manga by Nobuhiro Watsuki
30042	Dragon Ball	Q21198342	https://anilist.co/manga/30042	42	ドラゴンボール. 1984 manga by Akira Toriyama
30043	Eyeshield 21	Q21198342	https://anilist.co/manga/30043	43	アイシールド21. 2002 manga. Story: Riichirou Inagaki, Art: Yuusuke Murata
30044	Gin Tama	Q21198342	https://anilist.co/manga/30044	44	銀魂. 2003 manga by Hideaki Sorachi
30045	Strawberry 100%	Q21198342	https://anilist.co/manga/30045	45	いちご100%. 2002 manga by Mizuki Kawashita
30046	Kannade	Q21198342	https://anilist.co/manga/30046	46	神撫手. 2003 manga by Takeo Horibe
30047	Reborn!	Q21198342	https://anilist.co/manga/30047	47	家庭教師ヒットマンREBORN!. 2004 manga by Akira Amano
